Month,Ethereum,Bitcoin,Dogecoin
2017-09,4,21,<1
2017-10,3,22,<1
2017-11,4,38,<1
2017-12,10,100,1
2018-01,10,58,2
2018-02,5,42,1
2018-03,3,25,<1
2018-04,3,20,<1
2018-05,3,15,<1
2018-06,2,14,<1
2018-07,2,14,<1
2018-08,2,13,<1
2018-09,2,13,1
2018-10,1,11,<1
2018-11,1,14,<1
2018-12,1,13,<1
2019-01,1,10,<1
2019-02,1,10,<1
2019-03,1,9,<1
2019-04,1,12,<1
2019-05,2,18,<1
2019-06,2,22,<1
2019-07,2,20,<1
2019-08,1,24,<1
2019-09,1,70,<1
2019-10,1,13,<1
2019-11,1,12,<1
2019-12,1,11,<1
2020-01,1,14,<1
2020-02,2,14,<1
2020-03,1,20,<1
2020-04,1,17,<1
2020-05,2,20,<1
2020-06,2,15,<1
2020-07,2,15,1
2020-08,3,18,<1
2020-09,2,13,<1
2020-10,2,15,<1
2020-11,3,25,<1
2020-12,4,33,<1
2021-01,13,65,9
2021-02,14,67,15
2021-03,9,49,4
2021-04,13,55,22
2021-05,23,67,34
2021-06,10,50,9
2021-07,8,34,6
2021-08,11,34,5
2021-09,9,32,3
2021-10,11,41,5
2021-11,12,37,4
2021-12,11,37,4
2022-01,13,45,5
2022-02,12,40,3
2022-03,9,34,2
2022-04,7,27,3
2022-05,8,38,3
2022-06,9,46,2
2022-07,7,32,2
2022-08,7,25,2
2022-09,8,24,1
2022-10,4,19,2
2022-11,5,27,3
2022-12,4,19,2
2023-01,5,23,2
2023-02,4,18,2
2023-03,4,28,1
2023-04,5,24,3
2023-05,4,20,1
2023-06,3,20,1
2023-07,3,19,1
2023-08,3,20,1
2023-09,3,17,1
2023-10,3,21,1
2023-11,4,23,1
2023-12,5,27,1
2024-01,5,31,1
2024-02,6,32,1
2024-03,9,48,3
2024-04,5,36,2
2024-05,6,27,2
2024-06,4,23,1
2024-07,5,25,1
2024-08,4,26,1
2024-09,3,21,1
2024-10,3,22,1
2024-11,7,54,9
2024-12,7,46,6
2025-01,6,37,5
2025-02,5,31,10
2025-03,5,32,3
2025-04,4,27,2
2025-05,3,22,1
